"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","298123217.32248","327312070.329498","404676733.922531","415162066.83929","561389790.196452","633370099.836734","664259286.109532","587744768.316057","693164805.794473","778180844.083524","784982135.479981","672477494.116363","381325650","979329777.663539","1673257331.15742","2258156894.99775","1461842222.22222","1614547899.15966","1900582718.25397","2441672036.79369","3648772609.81912","4010648714.81028","3713023952.09581","3675294612.79461","4054840000","4527346153.84615","4437333333.33333","4762612903.22581","5298846024.2622","5694953541.7601","6365683595.31814","6538067226.89076","6886498673.74005","7606494486.77249","7925502152.1197","8946505554.72637","10069682151.5892","10547494145.1991","11326872246.696","11472233777.0383","11890459153.2499","12193291326.9088","12498572174.8215","13520207253.886","14831544080.1767","16180097560.9756","17305038402.3228","19505343318.8532","22657667364.8156","25922343711.8473","28769596138.0853","32217757150.5022","33752286037.6357","39458093190.1973","45487972928.6353","52342330516.1637","82406651410.4348","91793309497.3592","102786054021.67","115390780823.809","123057028731.952","138683221273.916",
"Bulgaria","BGR","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","10668230769.2308","10320142857.1429","11201066666.6667","9991166666.66667","10548777777.7778","10727526315.7895","12961529411.7647","17272000000","13752176470.5882","13059444444.4444","10579090909.0909","4350483870.96774","4042113402.06186","3540144927.53623","2904059040.59041","3395967261.90476","1993277121.97864","2464063856.35293","3199914224.03999","3044131795.17876","3003835068.05444","3401327871.10358","3937423206.54791","5142333352.57113","6051211351.66021","7238043961.62887","8722295902.00731","11668137858.6424","13615211278.1393","13821261818.4403","12040701908.7586","14437254888.0199","13783088699.0802","13121408794.7883","13382063492.0635","12199120947.6309","13191321832.5792","14193558052.4345","14868538925.7695","14944467086.4339","15322084134.4753","18491929297.6925",
"Bahrain","BHR","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1815600955.16052","2004520744.68085","1927925000","1800000000","1914095744.68085","1769414893.61702","1328511968.08511","1493365691.48936","1555685372.34043","1641577659.57447","1934475531.91489","1840228723.40426","1767942021.2766","1973239893.61702","2083655053.19149","2336724468.08511","","","","","","","","","","","8379601063.82979","9977952127.65957","12960265957.4468","9886303191.48936","11564787234.0426","14249361702.1277","14621010638.2979","15601170212.766","15531888297.8723","12468031914.8936","12670106382.9787","14606968085.1064","16202150531.9149","16265443617.0213","13977359840.4255","17414483510.6383",
"Bahamas, The","BHS","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470507000","449708000","488428000","479323000","404739000","475257000","471998000","506618000","804800000","866300000","891800000","981200000","793200000","942900000","964200000","936600000","1063200000","1193000000","983200000","1093600000","999200000","1161000000","1213000000","1397300000","1355500000","1468600000","1308100000","1424000000","1622300000","1558300000","1593400000","1166800000","1265700000",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","324691358.024691","479709231.735399","716013623.072834","925944870.538031","1129218048.531","1141296840.95861","1199073951.95478","1214544015.37335","1333332050.04812","1684421581.07328","2055227873.01587","2405397532.90519","2705438265.66609","3435422253.324","4434425104.85321","4034915476.95149","3856876075.03217","4137871988.05885","3723773034.74092","4056733306.18892","4112413093.6228","3669962311.00388","3931920634.24889","4339391782.56463","4948198512.7047","4841096373.56319","4899842129.79145","5558135396.95771",
"Belarus","BLR","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9937500000","8000000000","7777777777.77778","5867768595.04132","4866565961.73212","4664387818.52082","5049769230.76923","5075797257.74149","5374132847.72806","4127539661.84641","4264165461.72396","4010863309.35252","4643216080.40201","5837006338.37153","8104907407.40741","11430176415.9703","13749603729.6037","16774044734.3896","23590964419.4757","18374507697.816","20252769385.6999","22287638190.9548","23832433729.1592","27117454954.955","27883705007.8247","18456423458.4955","14774175713.7113","17268695337.163","18769140164.8999","20441772636.0073","18956425315.208","21934835710.3459",
"Belize","BLZ","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","31050000","30350000","46087781.6865","40762796.629","33626213.4055","35392361.5135","44358514.4245","40867454.069","43570368.2935","59398379.27","67742362.335","75545773.29","79683487.31","84258100","98163500","106821150","103413200","111269050","116719500","114371650","119197950","122686100","154235450","154886328.924438","158256340.191277","149129362.703541","161015889.72215","167021131.745993","214168231.192515","233995114.311367","263540332.235242","251826036.809402","263165157.459698","292449735.442107","272077368.706351","268668685.235788","269200987.710991","245267491.197333","253399823.974566","245694351.790489","222264746.552941","248352921.08654","224709937.404815","233381314.121316",
"Bermuda","BMU","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223717400","237559000","203498600","289225700","385365000","379403000","377345000","400577000","431355000","484434000","","","","","437715000","357767000","326483000","342621000","320997000","341004000","369131000","393492000","411970000","477873000","388117000","",
"Bolivia","BOL","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","315235690.23569","325336700.3367","419029710.41745","443378310.844578","764167916.041979","752823588.205897","871814092.953523","1060469765.11744","1243628185.90705","1440355236.65289","1311581255.67924","1726546261.07058","1772577942.62848","1820792228.66545","1946554840.54164","1732780188.31137","1285038027.17474","1319691067.62127","1432350652.74799","1483690960.15648","1552006962.76364","1635375384.01385","1702247891.29599","1641748587.37193","1682724705.11849","1957000416.64063","2067813601.07201","2095160459.05259","2220697083.5375","2083190885.00447","2161540567.63969","2069634003.84447","2013809232.91492","2068801741.69626","2354763697.07661","2508468231.23938","3166699211.14384","3711672330.34441","4958383860.85131","5068251609.68661","5923173414.85314","7277359175.43607","7945025976.84515","8743489406.65702","9115361881.3314","8316847337.19247","8596051461.64978","9891019348.7699","10574133560.0579","10309823169.3198","8605058002.89436","10651980535.4559",
"Brazil","BRA","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","4822690307.91158","5577261388.21488","5946175638.88398","8003875297.24114","6793159554.0568","6520936506.67227","8065425203.12212","8919175866.90115","10396175889.1679","11729198833.2917","13622585421.9581","16100750952.153","19166337452.185","26496716609.6275","36606872242.0549","43881294192.9237","53406528922.4241","59989144498.933","71325709050.1031","82157935532.0915","93051936803.5367","103428380079.121","115451747816.331","80274258183.1012","87112445817.1239","76789256907.4074","90711918200","101898825252.941","109400881057.269","146736790606.654","130001774671.57","108837506407.655","112018006951.785","137371085797.985","186090833270.45","179881367919.365","189986239388.26","199552969661.705","191042427194.705","130402430582.808","150796464985.93","126777666995.838","114680117356.985","128861655886.625","162681634209.115","215530884738.643","260779873011.893","323087984474.402","391493198945.456","364715328404.357","513951950921.353","604385832686.834","545644937340.993","524851210070.457","502812645186.906","348909035658.084","329595158423.038","375322416887.993","359406887336.588","351328217636.51","256420110320.824","303423740572.791",
"Barbados","BRB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","64405227.4639869","76777123.4654157","90281542.7546342","104459802.118033","125292099.637051","172177198.82663","188807239.09909","193158653.60712","218962859.841893","245214537.861085","223934768.557649","223636454.034704","232188137.025804","254760602.595336","268035598.866405","376373489.782728","351464227.11679","298450000","301496544.523443","308854969.422761","331327996.817978","352607766.121414","400785561.577089","439815044.995774","451449311.390643","468300000","448750000","447950000","504050000","519700000","570850000","684188347.04613","688432282.65734","724526335.77486","688247311.1706","636480760.30391","675914971.8855","654048368.393965","658883589.020605","650381073.493445","644197901.73672","627852398.461625","636029462.54721","628757483.73013","636747522.547585","598295143.89177","",
"Brunei Darussalam","BRN","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","971726373.671468","1045839834.68983","1287437267.28185","1468803804.21415","1565083553.2102","2360893957.50943","4180833177.65739","3573626165.57012","3398130841.1215","2972550875.53242","2779053959.02677","2530339530.02136","1386975291.63222","1639126305.79297","1406281057.44385","1785389786.18674","2167192993.10345","2205183896.73536","2526824493.55433","2349906424.06238","2200147505.56501","2569200437.42063","2880295319.14894","2912863281.25","2087712177.34226","2538491209.43953","3820920707.65661","3363031869.17453","3544681391.71228","4206368270.00344","5341627558.86877","6820704157.65441","8393857385.61269","8733196204.63141","10667160598.363","7019524267.83996","9411074440.77741","13648143731.6162","13839628681.178","12670236572.89","11601578531.9653","7934395228.74391","6531362122.63809","7242966181.47585","8580487434.20565","8420453012.75473","7099480604.50616","8782338198.35281",
"Bhutan","BTN","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","15666984.7328244","25090438.7990762","28342801.2684989","34704366.3366337","35991003.5211268","33367324.1713824","39818406.0269627","64724799.382716","64115150.862069","64619605.6685151","72603632.2101656","62647145.998241","67527978.3950617","67669977.041653","77771695.8877909","98867271.0453284","103411899.520181","118946474.80033","119672101.308774","144225051.0915","154661143.747219","176722509.006145","200832400.740588","237083273.937312","255124117.387467","294206303.854875","338476879.952325","526904664.014414","543581553.46947","530776191.863288","678249559.329744","745968594.722576","758982618.84979","761616500.960787","794352837.562163","851270495.495847","918666632.934149","1025305305.76644","934787650.150973","914330810.859937","796803086.656338","",
"Botswana","BWA","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","4054114.67825599","4046173.21953267","4054114.67825599","4042779.25346009","5615363.16743343","8795197.54292894","7391910.73919107","8786610.87866109","8228730.82287308","15109316.2512185","26521496.3707426","35162829.8708591","45419254.6583851","65624549.7766892","85356880.0588668","110141987.829615","118387764.48942","146615201.900238","220900748.611446","350306748.466258","465645908.389089","440121907.493725","439399825.191803","559531406.691585","640596118.299446","632686849.574267","806875631.951466","1140359759.36625","1637318166.90364","1894163482.05866","2157081429.72319","2111174317.37238","2059226430.29815","1991828649.25096","1842546375.62393","2076401414.03939","2202183984.11648","2293962967.02093","2086017179.77236","2457032263.64501","2680034497.62829","2457577210.1623","2391210215.24068","2975819430.69557","3477457670.09738","4250742900.69772","4419187074.42156","4572538199.64814","3999384596.22962","2890820254.0845","4073996953.0146","5380323667.04688","4273669851.44951","4691465703.84217","6463040741.52472","5079978280.18561","6085091549.55418","5975182171.36672","5927156862.7451","5313502356.84601","4145990817.19942","",
"Central African Republic","CAF","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","508031769.405712","525147520.899089","649438534.141003","690864063.375577","409206648.476735","369157073.728328","375205700.428459","394901769.406162","429747867.698287","456539018.609353","455632704.113765","475772285.809592","507344200.420283",
"Canada","CAN","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181539072656.363","170126727334.007","189085279666.151","219708437142.28","210222107438.017","209734913655.77","249922203982.585","291488854727.133","342700115530.616","380575634696.756","421344381342.519","455678537956.888","344701250984.166","426188304452.91","486697022204.677","486979356756.42","491439314623.88","490043362985.931","380032251381.957","355950967448.067","396282298083.287","424815832585.479","","","",
"Central Europe and the Baltics","CEB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122392825925.029","129351593709.157","126840486554.78","136008760076.526","128312425097.582","123716716419.817","134220317608.805","149073226037.301","180136382381.188","223368117329.51","260141624644.058","299396694165.997","379138542602.978","460171241619.148","382331629355.372","389286937598.435","436211767996.974","395225886479.338","404642114425.683","425846627761.796","377452941832.594","379530012087.573","409331569369.594","456002949929.015","456280131951.702","445844338155.261","527729281089.462",
"Switzerland","CHE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81309681111.431","81538463737.7964","82756569478.0259","79180230102.8695","90138924471.7409","102889731923.89","95625977346.2783","80697835733.4803","81155493861.2222","78673519504.7264","71476570937.9441","75595970016.5916","82264799178.7502","94727986931.0166","104095740249.296","109253738355.284","116026081512.203","128780288237.254","148856151786.539","139299499126.918","150387128156.438","182528151650.999","172160492490.905","177898316819.261","180827382658.348","171856088836.391","170108139420.115","172571269517.531","181460360302.013","182600680234.46","189910061867.017","208437657701.199",
"Channel Islands","CHI","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
